date,session_type,source
2026-05-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-07,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-14,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-15,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-21,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-25,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-26,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-15,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-25,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-06-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-07,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-14,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-15,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-21,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-28,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-07-31,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-07,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-14,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-08-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
