trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2021-03-22,1,SBIN,BUY,1,372.19,372.19,0,0,0,0.01,0,0,0.06,0,0.07,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-03-30,1,AXISBANK,BUY,1,705.35,705.35,0,1.00,0,0.02,0,0,0.11,0,1.13,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-04-05,1,SBIN,BUY,1,367.68,367.68,0,0,0,0.01,0,0,0.06,0,0.07,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-04-12,1,AXISBANK,SELL,10,650.67,6506.70,0,0.00,7.00,0.20,0.00,0.04,0.00,15.34,22.58,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-04-12,2,JINDALSTEL,BUY,18,405.10,7291.80,0,7.64,0.00,0.22,0.01,0.04,1.10,0.00,9.01,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-04-12,3,SBIN,BUY,1,344.17,344.17,0,0.36,0.00,0.01,0.00,0.00,0.05,0.00,0.42,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-04-19,1,HINDALCO,SELL,1,358.52,358.52,0,0,0,0.01,0,0,0,15.34,15.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-04-26,1,JINDALSTEL,SELL,1,440.78,440.78,0,0,0,0.01,0,0,0,15.34,15.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-05-10,1,SBIN,SELL,21,360.32,7566.72,0,0.00,7.28,0.23,0.01,0.04,0.00,15.34,22.90,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-05-10,2,JINDALSTEL,SELL,2,488.71,977.42,0,0.00,0.94,0.03,0.00,0.01,0.00,15.34,16.32,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-05-10,3,HINDALCO,SELL,2,407.60,815.20,0,0.00,0.78,0.03,0.00,0.00,0.00,15.34,16.15,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-05-10,4,BAJAJFINSV,BUY,6,1139.57,6837.42,0,7.00,0.00,0.21,0.01,0.04,1.03,0.00,8.29,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-05-17,1,JINDALSTEL,BUY,1,421.21,421.21,0,0,0,0.01,0,0,0.06,0,0.07,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-05-31,1,JINDALSTEL,BUY,1,396.00,396.00,0,0,0,0.01,0,0,0.06,0,0.07,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-06-21,1,HINDALCO,SELL,18,366.72,6600.96,0,0.00,7.00,0.20,0.01,0.04,0.00,15.34,22.59,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-06-21,2,ASIANPAINT,BUY,2,3025.71,6051.42,0,6.00,0.00,0.19,0.00,0.03,0.91,0.00,7.13,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-07-05,1,JINDALSTEL,SELL,17,391.15,6649.55,0,0.00,7.00,0.20,0.00,0.04,0.00,15.34,22.58,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-07-05,2,SBIN,BUY,16,426.71,6827.36,0,7.00,0.00,0.21,0.01,0.04,1.02,0.00,8.28,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-08-02,1,ASIANPAINT,SELL,2,2984.11,5968.22,0,0.00,6.00,0.19,0.00,0.04,0.00,15.34,21.57,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-08-02,2,TECHM,BUY,6,1210.61,7263.66,0,7.55,0.00,0.22,0.01,0.04,1.09,0.00,8.91,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-08-02,3,SBIN,BUY,1,434.97,434.97,0,0.45,0.00,0.01,0.00,0.00,0.06,0.00,0.52,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-08-09,1,SBIN,BUY,1,438.12,438.12,0,0,0,0.01,0,0,0.07,0,0.08,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-08-16,1,SBIN,SELL,18,429.79,7736.22,0,0.00,8.00,0.24,0.01,0.04,0.00,15.34,23.63,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-08-16,2,INFY,BUY,4,1708.55,6834.20,0,7.00,0.00,0.21,0.00,0.04,1.03,0.00,8.28,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
